1, -14, 21, -1, 1, 0, -3, 2
-10, -9, -4, -1, 0, -4, -14, -40
0, -31, 4, 5, -2, 1, -3, 6
-2, -4, -5, -20, -1, 0, 0, 4
0, 11, 6, 14, 0, 1, 0, -7
-7, -12, -17, -25, -9, -3, -1, -5
-9, -36, -60, -15, -9, -2, 5, -5
1, 5, 10, 17, -7, 1, 5, -1
1, 2, -1, -9, 4, 1, 3, 3
24, 37, 7, 30, 16, 2, 0, -18
-88, -103, -24, -8, -24, -14, 0, 21
16, 29, 56, 11, -4, 1, 4, 17
-22, 5, 79, 15, -1, -6, 1, -7
-20, -85, -48, -7, -7, -9, -8, -10
-5, -6, -25, -22, -9, -5, -9, -4
-2, -8, -118, -11, -5, -2, 7, -2
5, 13, 24, -7, -2, -3, 3, 4
1, 3, -12, 26, -1, 0, -6, 1
6, 6, 13, 23, 6, 4, 2, 4
-4, -4, -17, -2, -1, -2, 0, 1
-2, -16, -7, -1, 0, -1, -2, 2
0, 18, 20, -4, 0, -2, -6, -11
7, 7, 4, 6, 2, 1, 2, -2
6, 14, -10, -41, -3, 1, 2, 7
2, 28, 8, 12, 3, -1, 1, 11
1, -7, 1, -3, -5, -3, 0, -13
0, 14, -18, -1, 0, 0, 0, 2
5, 1, 5, 4, -1, -1, 1, 6
-2, -12, -7, -4, -2, -2, 1, -5
5, 23, 20, -3, -2, -1, 1, 3
-1, 0, 12, 1, -2, -1, -2, -2
-5, -23, -1, 0, -2, -1, 0, 1
4, -10, -6, 8, 0, 3, -1, 1
20, 37, 23, -3, -5, 1, -1, -18
4, 7, 19, -4, 3, 0, 1, -1
4, 18, 11, -2, 1, 1, 0, 2
1, 15, 39, 6, 1, 2, -1, 12
-8, 17, -9, -18, -3, 0, -2, -10
8, 0, 0, -3, -1, 1, -1, 5
5, 9, 12, -8, -1, 0, -5, 0
0, -1, -7, -7, 0, -1, 1, 16
4, -9, 1, -3, -3, -4, -1, -12
-4, -10, -31, -10, -3, -4, -4, -2
1, 15, 1, -4, -2, -2, 1, 0
-3, -8, -7, -3, -3, -2, -2, 0
0, 6, 3, -1, -3, -2, -1, -1
4, 21, -9, 6, -2, -2, 1, 2
-3, 9, -16, -11, -2, 1, 1, 17
2, 17, -35, -4, -2, 0, -3, -13
-1, 1, -9, -14, -4, -2, -2, 4
6, 8, 1, -1, 0, 0, 2, 8
6, 7, -11, -3, 1, 1, 4, 15
-8, -16, -3, -1, -1, -2, 2, -7
2, 6, -18, -3, 0, -1, 0, 12
-10, -36, -3, 2, 1, 1, 1, -20
1, -11, 9, 0, -2, 1, 3, -4
3, -1, 3, -1, 0, 0, 8, 26
-2, -10, -1, -4, -2, -2, -3, 20
-3, -17, 3, 1, -1, 1, -3, -1
-6, -1, 3, 0, -2, -5, -8, -16
1, 24, 5, 6, 0, 0, 3, -3
-6, -19, -8, -3, -2, -2, -3, -26
-2, -7, -2, -3, 0, -2, -12, -1
-3, 7, 7, -2, 0, -1, -3, -4
0, 3, -6, -1, 0, 0, -9, 8
-8, -3, -6, -2, -1, -2, 3, -13
6, 2, -1, -1, -2, 0, 11, 8
-2, -13, -17, -5, -2, -2, -7, 2
-2, 5, 7, 4, 0, 1, 0, -3
0, -1, 2, 2, 2, 0, -5, 10
-1, -13, -1, -5, -1, 0, 0, -4
-7, -21, -2, 1, -1, -3, 1, -11
6, -14, -7, 2, -3, -2, 1, 7
-3, -11, -1, 0, -2, -2, 5, 5
0, -8, 9, 2, -1, 1, 4, 0
-6, -31, -5, -1, -3, -2, 7, 7
0, -12, 3, 2, 0, 0, -3, 31
-3, -15, -18, -3, -1, -3, 0, 3
1, -13, 4, 1, -1, -1, -3, 6
-1, -10, -5, 0, 0, 0, 0, 7
1, -10, -4, 0, 3, 2, 0, 2
0, 3, -3, -4, 0, 0, 4, 8
2, 18, 4, -2, -1, 0, 3, 10
-1, -3, 4, 2, 0, 0, -2, -2
-3, -26, -3, -2, -3, -3, -2, -1
-1, 2, -13, -2, 0, -1, 2, 0
-1, -7, -7, -1, 2, -1, -3, 7
-5, 1, -3, -6, 0, 2, 3, -2
1, 15, -2, -1, 0, -2, 1, -6
-2, -4, 3, -4, 0, -2, -2, 4
3, 6, 1, 3, -2, -1, 1, 4
1, -18, -2, -5, -2, -2, -2, 6
-3, 4, -5, -2, -1, 1, 0, 5
-1, 24, 1, 1, 1, 0, 2, 10
-2, 2, 3, 0, -1, -2, 2, -3
2, -13, 2, -2, -1, -1, -1, -3
-2, 4, 13, 5, -1, -1, 0, -2
0, 4, -4, -1, 1, -1, 2, 9
10, 70, 9, 7, 4, 2, 2, -2
2, 1, 14, 2, -1, 1, -1, 4
-4, -7, 32, 3, 0, -1, 0, 4
0, -12, -11, -4, -2, -3, -1, -5
1, 0, 0, -3, -2, 0, -2, 2
-2, -9, 5, -1, -1, -1, -2, -3
-3, -13, 1, -3, -1, -1, -1, -5
1, -1, 1, 2, -1, -2, 0, -9
-8, -15, -8, 3, -1, -2, -6, -42
-3, -4, 0, -1, -1, 1, 2, -4
-2, 6, 10, 1, -3, -3, -1, 4
-2, -7, -10, -3, -1, 3, -2, -4
4, 1, 2, 5, -2, -1, -1, 1
0, -8, -1, -2, -1, 2, 1, 13
-3, -8, -25, -2, -1, -3, -1, -17
4, 11, 4, -4, -8, 0, 0, -3
-2, -18, 7, 0, 1, -1, 0, -2
3, -1, -2, 7, 3, -1, 0, 11
0, 31, 13, -4, 0, 0, -1, -7
2, 7, 8, -5, 0, -2, 2, 4
-3, -14, -2, -5, -1, -1, -3, -3
-3, -3, -8, -2, -1, 0, 0, 4
-1, 0, 9, 2, 3, 1, 1, 0
0, -7, -10, 1, 0, -3, -3, -5
1, 0, 2, -1, -1, -2, -1, -2
-7, 8, 7, -5, 1, 0, 0, 0
-3, -71, -22, -4, -5, -3, -5, 14
2, 43, -8, 3, 0, 1, 0, 2
